NAICS_SECTOR,INSTRUMENT_ID,ANSWER_ID,ESTIMATE_PERCENTAGE,SE
23 ,3,5,  16.2%,  1.06%
23 ,3,6,  12.1%,  0.97%
23 ,3,7,   8.2%,  0.75%
23 ,3,8,  12.4%,  0.68%
23 ,3,9,  19.5%,  0.81%
23 ,3,10,   8.4%,  1.08%
23 ,4,1,   4.3%,  0.36%
23 ,4,2,  28.8%,  1.20%
23 ,4,3,  66.9%,  1.30%
23 ,5,1,   0.1%,  0.08%
23 ,5,2,   2.0%,  0.26%
23 ,5,3,   0.7%,  0.19%
23 ,5,4,  97.1%,  0.27%
23 ,6,1,   5.8%,  0.66%
23 ,6,2,  14.3%,  0.64%
23 ,6,3,  79.9%,  0.74%
23 ,7,1,   2.1%,  0.29%
23 ,7,2,  41.1%,  0.91%
23 ,7,3,  56.8%,  1.06%
23 ,8,1,   4.9%,  0.61%
23 ,8,2,  22.5%,  1.43%
23 ,8,3,  72.6%,  1.55%
23 ,9,1,   4.5%,  0.45%
23 ,9,2,   2.5%,  0.38%
23 ,9,3,  31.8%,  1.43%
23 ,9,4,  61.3%,  1.55%
23 ,10,1,  38.8%,  1.82%
23 ,10,2,  10.7%,  0.61%
23 ,10,3,  16.1%,  1.13%
23 ,10,4,   4.1%,  0.36%
23 ,10,5,  16.3%,  0.72%
23 ,10,6,  24.1%,  1.46%
23 ,10,7,  52.9%,  1.92%
23 ,11,1,   5.6%,  0.62%
23 ,11,2,  14.1%,  0.69%
23 ,11,3,   2.4%,  0.32%
23 ,11,4,  10.5%,  0.76%
23 ,11,5,   9.4%,  1.02%
23 ,11,6,   3.7%,  0.54%
23 ,11,7,  18.6%,  1.51%
23 ,11,8,  63.5%,  1.85%
23 ,12,1,   1.6%,  0.29%
23 ,12,2,   6.7%,  0.57%
23 ,12,3,  49.6%,  2.25%
23 ,12,4,  31.0%,  2.15%
23 ,12,5,  11.0%,  0.77%
23 ,13,1,   6.2%,  0.53%
23 ,13,2,  11.4%,  0.71%
23 ,13,3,  17.8%,  1.10%
23 ,13,4,  22.4%,  1.00%
23 ,13,5,  21.5%,  0.79%
23 ,13,6,   4.8%,  0.48%
23 ,13,7,  15.9%,  1.03%
23 ,14,1,   2.4%,  0.35%
23 ,14,2,  97.6%,  0.35%
23 ,15,1,   6.1%,  0.38%
23 ,15,2,  93.9%,  0.38%
23 ,16,1,  69.9%,  1.02%
23 ,16,2,  17.2%,  1.46%
23 ,16,3,  13.0%,  0.63%
23 ,16,4,   0.4%,  0.28%
23 ,16,5,   1.0%,  0.27%
23 ,16,6,   4.6%,  0.43%
23 ,16,7,   0.3%,  0.20%
23 ,16,8,   0.5%,  0.25%
23 ,16,9,   3.4%,  0.48%
23 ,16,10,   7.4%,  0.57%
23 ,16,11,   8.4%,  0.58%
23 ,16,12,   2.9%,  0.62%
23 ,16,13,   2.2%,  0.40%
23 ,16,14,  22.2%,  1.26%
23 ,17,1,  69.2%,  1.13%
23 ,17,2,  15.3%,  1.13%
23 ,17,3,   7.5%,  0.57%
23 ,17,4,   0.2%,  0.08%
23 ,17,5,   1.1%,  0.25%
23 ,17,6,   4.2%,  0.43%
23 ,17,7,   0.2%,  0.15%
23 ,17,8,   1.1%,  0.28%
23 ,17,9,  26.7%,  1.12%
23 ,18,1,   8.1%,  0.65%
23 ,18,2,  27.8%,  0.90%
23 ,18,3,  64.1%,  0.99%
23 ,19,1,  20.8%,  1.45%
23 ,19,2,  16.0%,  1.15%
23 ,19,3,   4.2%,  0.45%
23 ,19,4,  21.9%,  1.30%
23 ,19,5,  13.2%,  1.29%
23 ,19,6,  23.5%,  1.08%
23 ,19,7,   3.8%,  0.56%
23 ,19,8,  43.6%,  2.03%
23 ,20,1,   0.6%,  0.17%
23 ,20,2,   4.5%,  0.80%
23 ,20,3,  16.2%,  0.88%
23 ,20,4,  34.1%,  1.85%
23 ,20,5,   4.6%,  0.61%
23 ,20,6,   1.0%,  0.25%
23 ,20,7,  27.3%,  2.40%
23 ,20,8,  11.7%,  0.87%
31 ,2,1,  28.1%,  1.12%
31 ,2,2,  47.8%,  1.43%
31 ,2,3,  17.4%,  0.91%
31 ,2,4,   5.1%,  0.43%
31 ,2,5,   1.7%,  0.29%
31 ,3,1,   3.2%,  0.43%
31 ,3,2,   0.8%,  0.42%
31 ,3,3,   1.1%,  0.36%
31 ,3,4,   5.6%,  0.48%
31 ,3,5,  15.2%,  0.89%
31 ,3,6,  19.7%,  1.12%
31 ,3,7,  10.7%,  0.53%
31 ,3,8,  16.3%,  0.93%
31 ,3,9,  22.3%,  1.00%
31 ,3,10,   5.1%,  0.38%
31 ,4,1,   7.8%,  0.91%
31 ,4,2,  35.2%,  0.91%
31 ,4,3,  57.1%,  1.21%
31 ,5,1,   0.2%,  0.16%
31 ,5,2,   2.4%,  0.38%
31 ,5,3,   1.3%,  0.24%
31 ,5,4,  96.1%,  0.41%
31 ,6,1,   6.7%,  0.67%
31 ,6,2,  12.1%,  0.82%
31 ,6,3,  81.2%,  1.17%
31 ,7,1,   2.6%,  0.29%
31 ,7,2,  44.2%,  1.40%
31 ,7,3,  53.2%,  1.54%
31 ,8,1,   9.1%,  0.52%
31 ,8,2,  18.8%,  0.91%
31 ,8,3,  72.1%,  1.01%
31 ,9,1,   3.9%,  0.44%
31 ,9,2,   1.6%,  0.20%
31 ,9,3,  34.5%,  1.02%
31 ,9,4,  59.9%,  0.92%
31 ,10,1,  40.6%,  1.00%
31 ,10,2,  14.5%,  0.69%
31 ,10,3,  16.1%,  1.01%
31 ,10,4,   4.6%,  0.65%
31 ,10,5,  24.4%,  0.98%
31 ,10,6,  31.4%,  0.86%
31 ,10,7,  45.9%,  0.86%
31 ,11,1,   7.7%,  0.60%
31 ,11,2,  18.7%,  0.94%
31 ,11,3,   2.3%,  0.30%
31 ,11,4,   9.6%,  0.56%
31 ,11,5,   9.1%,  0.43%
31 ,11,6,   3.7%,  0.44%
31 ,11,7,  17.7%,  0.79%
31 ,11,8,  60.4%,  0.70%
31 ,12,1,   1.9%,  0.18%
31 ,12,2,   8.7%,  0.63%
31 ,12,3,  45.9%,  0.71%
31 ,12,4,  30.7%,  1.13%
31 ,12,5,  12.7%,  0.97%
31 ,13,1,   6.1%,  0.53%
31 ,13,2,   9.3%,  0.65%
31 ,13,3,  16.7%,  0.86%
31 ,13,4,  26.5%,  0.51%
31 ,13,5,  24.5%,  1.16%
31 ,13,6,   3.5%,  0.36%
31 ,13,7,  13.5%,  0.67%
31 ,14,1,   2.8%,  0.28%
31 ,14,2,  97.2%,  0.28%
31 ,15,1,   8.3%,  0.69%
31 ,15,2,  91.7%,  0.69%
31 ,16,1,  80.5%,  0.71%
31 ,16,2,  19.0%,  0.68%
31 ,16,3,  15.4%,  0.62%
31 ,16,4,   0.9%,  0.37%
31 ,16,5,   1.9%,  0.29%
31 ,16,6,   9.1%,  0.59%
31 ,16,7,   0.5%,  0.13%
31 ,16,8,   0.8%,  0.33%
31 ,16,9,   6.6%,  0.32%
31 ,16,10,   6.6%,  0.38%
31 ,16,11,   9.2%,  0.37%
31 ,16,12,   2.7%,  0.64%
31 ,16,13,   2.5%,  0.38%
31 ,16,14,  13.8%,  0.69%
31 ,17,1,  80.0%,  0.75%
31 ,17,2,  16.7%,  0.77%
31 ,17,3,  10.4%,  0.79%
31 ,17,4,   0.5%,  0.35%
31 ,17,5,   1.8%,  0.31%
31 ,17,6,   8.4%,  0.56%
31 ,17,7,   0.4%,  0.10%
31 ,17,8,   1.0%,  0.33%
31 ,17,9,  16.1%,  0.49%
31 ,18,1,  17.0%,  0.56%
31 ,18,2,  39.9%,  0.97%
31 ,18,3,  43.2%,  0.89%
31 ,19,1,  25.7%,  1.10%
31 ,19,2,  21.3%,  1.14%
31 ,19,3,  15.0%,  0.66%
31 ,19,4,  39.7%,  1.31%
31 ,19,5,   9.8%,  0.82%
31 ,19,6,  29.2%,  1.09%
31 ,19,7,   5.0%,  0.32%
31 ,19,8,  29.1%,  0.81%
31 ,20,1,   0.8%,  0.18%
31 ,20,2,   4.5%,  0.50%
31 ,20,3,  16.2%,  0.95%
31 ,20,4,  43.9%,  1.41%
31 ,20,5,   6.3%,  0.42%
31 ,20,6,   1.7%,  0.31%
31 ,20,7,  16.6%,  0.56%
31 ,20,8,  10.0%,  0.67%
42 ,2,1,  30.5%,  0.88%
42 ,2,2,  47.2%,  1.14%
42 ,2,3,  15.4%,  0.55%
42 ,2,4,   5.2%,  0.37%
42 ,2,5,   1.6%,  0.23%
42 ,3,1,   5.4%,  0.41%
42 ,3,2,   3.1%,  0.31%
42 ,3,3,   3.9%,  0.43%
42 ,3,4,   9.7%,  0.71%
42 ,3,5,  17.2%,  0.43%
42 ,3,6,  15.5%,  0.52%
42 ,3,7,  10.0%,  0.55%
42 ,3,8,  13.9%,  0.60%
42 ,3,9,  15.3%,  0.47%
42 ,3,10,   6.1%,  0.44%
42 ,4,1,   7.3%,  0.61%
42 ,4,2,  39.4%,  0.89%
42 ,4,3,  53.4%,  0.94%
42 ,5,1,   0.5%,  0.10%
42 ,5,2,   2.1%,  0.35%
42 ,5,3,   1.2%,  0.45%
42 ,5,4,  96.2%,  0.65%
42 ,6,1,   2.6%,  0.23%
42 ,6,2,   6.0%,  0.53%
42 ,6,3,  91.4%,  0.59%
42 ,7,1,   1.9%,  0.24%
42 ,7,2,  36.7%,  0.66%
42 ,7,3,  61.4%,  0.76%
42 ,8,1,   3.6%,  0.41%
42 ,8,2,  13.6%,  0.76%
42 ,8,3,  82.9%,  1.15%
42 ,9,1,   4.8%,  0.29%
42 ,9,2,   2.8%,  0.31%
42 ,9,3,  53.7%,  1.09%
42 ,9,4,  38.7%,  0.89%
42 ,10,1,  35.3%,  0.80%
42 ,10,2,  27.9%,  0.73%
42 ,10,3,  13.8%,  0.90%
42 ,10,4,   7.5%,  0.59%
42 ,10,5,  13.3%,  0.66%
42 ,10,6,  39.6%,  1.00%
42 ,10,7,  42.6%,  0.67%
42 ,11,1,   4.7%,  0.56%
42 ,11,2,   9.1%,  0.48%
42 ,11,3,   3.7%,  0.30%
42 ,11,4,   7.8%,  0.59%
42 ,11,5,  12.0%,  0.47%
42 ,11,6,   3.2%,  0.45%
42 ,11,7,  15.3%,  0.77%
42 ,11,8,  66.5%,  1.23%
42 ,12,1,   1.1%,  0.18%
42 ,12,2,   5.2%,  0.36%
42 ,12,3,  44.0%,  0.66%
42 ,12,4,  33.7%,  1.15%
42 ,12,5,  16.0%,  0.77%
42 ,13,1,   5.8%,  0.56%
42 ,13,2,   8.1%,  0.57%
